sim#;thickness;TransportTimeAfterHeating;EnforcedTemperatureOfEntireSheet;QuenchingTimeInTool;QuenchingForce;spacing;DefaultToolTemperature;HARDNESS P1;HARDNESS P2;HARDNESS P3;THICKNESS P1;THICKNESS P2;THICKNESS P3;RUECKFEDERUNG P4;RUECKFEDERUNG P5;;;| AutoForm-SIGMA: Scatter Data Dump (MIME: text/csv)
119;1.537040042;21.2867582;919.3526292;8.665664791;582561.7026;1.656489211;295.4090084;390.6666565;375.6666565;384.3333435;1.381184936;1.509114623;1.512044311;-0.263912091;-0.237284245;;;
120;1.512096943;22.66388516;923.8393659;4.81965625;505482.3414;0.603233871;210.4576612;390;380.3333435;389.3333435;1.361653686;1.485677123;1.489583373;-0.176666346;-0.173206785;;;
121;1.450567675;13.7475028;934.9120796;8.720887979;1440711.69;0.306530195;240.1275449;461.6666565;463.3333435;470;1.309895873;1.422851563;1.429036498;-0.235279071;-0.190287306;;;
122;1.465691292;22.09150556;906.6342914;2.60656087;1628335.176;0.272832527;136.7428495;369.3333435;364.6666565;370;1.325846314;1.439778686;1.444986939;-0.151921525;-0.124604258;;;
123;1.496108044;19.27312767;909.2917209;9.96810382;1753751.225;0.246698226;202.7824484;400;397.6666565;402;1.350260377;1.46484375;1.474283814;-0.064659288;-0.047670536;;;
124;1.482098707;12.87235454;907.4199543;8.365830007;510510.2495;0.580618414;272.0160053;426.3333435;416.6666565;441;1.328776002;1.453125;1.458333373;-0.364085064;-0.357782912;;;
125;1.539163397;18.25516921;922.7244267;6.868073611;906649.3669;0.329751435;81.98056859;411;430.6666565;437;1.3828125;1.508138061;1.513997436;0.147245538;0.132800225;;;
126;1.506866041;23.28975744;935.6986208;3.507694728;709771.071;1.35249191;267.6603213;400;375.3333435;389.6666565;1.354817748;1.480794311;1.482747436;-0.354895812;-0.259159747;;;
127;1.497140771;18.85123568;923.4505307;6.565421603;1265886.634;0.967315415;174.4620609;400.3333435;420.6666565;427.3333435;1.348632813;1.472005248;1.475260377;-0.125019353;-0.105530246;;;
128;1.474389617;24.68458842;909.8537523;3.487814473;780422.1617;0.643352948;149.0715241;380;373;353;1.328125;1.450846314;1.453125;-0.098131811;-0.07367791;;;
129;1.476358671;15.69818116;928.0367822;7.480268321;965988.2216;1.748056366;297.7939523;423;427.3333435;446;1.331705689;1.452148438;1.455403686;-0.471745718;-0.392056959;;;
130;1.544084138;22.23666369;932.0303188;9.831604866;1588053.691;1.213249867;245.239746;410.3333435;399;407;1.388997436;1.515950561;1.521484375;-0.127136838;-0.125595145;;;
131;1.486300091;11.0226223;936.5084704;8.488340733;1885180.795;1.087485173;119.7637806;486.6666565;483.3333435;485;1.333007813;1.454427123;1.464192748;-0.118321783;-0.075200255;;;
132;1.489616686;19.43186044;915.3483468;7.252439076;1508010.204;1.093097469;171.8030998;409;403.3333435;411;1.344401002;1.464518189;1.468424439;-0.076014791;-0.07379101;;;
133;1.500883268;11.47395413;924.0527649;9.382295182;1719909.994;1.439355853;144.1297229;477.3333435;466.6666565;478;1.347981811;1.467773438;1.4765625;-0.150381067;-0.089586377;;;
134;1.536016997;14.15434579;927.1315355;6.737204027;877962.6634;0.372337285;138.9191442;461;463;469;1.376953125;1.505533814;1.511393189;0.001205811;0.009385438;;;
135;1.484196156;24.40224907;943.8823187;5.549702279;1605058.564;1.013981089;189.1278787;421.3333435;430.3333435;437.3333435;1.340169311;1.459635377;1.462890625;-0.105042375;-0.07573276;;;
136;1.51860086;18.63270394;917.9125437;5.304932739;1077613.037;1.139141691;209.0721283;393.3333435;412.3333435;421.3333435;1.366210938;1.492838502;1.49609375;-0.224615146;-0.231481708;;;
137;1.464914856;21.66299105;943.9775968;9.567569383;657788.6426;1.640693915;298.7557663;415.6666565;434.3333435;411.6666565;1.321614623;1.440755248;1.442382813;-0.29695752;-0.270492788;;;
138;1.498238066;24.47377988;936.8123848;7.135767408;1963400.549;0.628475586;110.615016;399;393.3333435;399;1.349609375;1.470052123;1.476236939;0.027213951;0.055004607;;;
139;1.531007196;16.15107888;911.6303923;6.599568203;1153252.93;1.348932469;234.2325847;410.3333435;423;434;1.374674439;1.501953125;1.506184936;-0.282958808;-0.275821684;;;
